source,site_name,site_id,geometry
ACIS,ANVIK AIRPORT,32033,"c(-160.18333, 62.65)"
ACIS,KODIAK WWTP,32422,"c(-152.35609, 57.8048)"
ACIS,Kodiak Area,32637,"c(0, 0)"
ACIS,King Salmon Area,32640,"c(0, 0)"
ACIS,Anchorage Area,32645,"c(0, 0)"
ACIS,Annette Area,32647,"c(0, 0)"
ACIS,Bethel Area,32657,"c(0, 0)"
ACIS,Delta Junction Area,32662,"c(0, 0)"
ACIS,Barrow Area,32673,"c(0, 0)"
ACIS,Bettles Area,32675,"c(0, 0)"
ACIS,Cold Bay Area,32683,"c(0, 0)"
ACIS,Fairbanks Area,32722,"c(0, 0)"
ACIS,Gulkana Area,32736,"c(0, 0)"
ACIS,Homer Area,32749,"c(0, 0)"
ACIS,Juneau Area,32772,"c(0, 0)"
ACIS,Mcgrath Area,32790,"c(0, 0)"
ACIS,Nome Area,32817,"c(0, 0)"
ACIS,Kotzebue Area,32822,"c(0, 0)"
ACIS,St Paul Island Area,32863,"c(0, 0)"
ACIS,Talkeetna Area,32870,"c(0, 0)"
ACIS,Yakutat Area,32886,"c(0, 0)"
ACIS,ANCHORAGE UPPER DE ARMOUN,32955,"c(-149.7169, 61.1025)"
ACIS,ST. PAUL 4 NE,32960,"c(-170.2119, 57.1575)"
ACIS,SITKA 1 NE,32973,"c(-135.3266, 57.0574)"
ACIS,EGEGIK AP,33048,"c(-157.38556, 58.18528)"
ACIS,ANCHORAGE RABBIT CREEK #2,33105,"c(-149.7561, 61.0882)"
ACIS,TOKSOOK BAY AP,33566,"c(-165.08722, 60.54139)"
ACIS,MANLEY HOT SPRINGS DOT,33701,"c(-150.6127, 65.0074)"
ACIS,AMBER LAKE,33761,"c(-150.5033, 62.1925)"
ACIS,SITKA WATER TREATMENT PLANT,34620,"c(-135.3497, 57.0466)"
ACIS,CLEAR SKY,35068,"c(-149.1828, 64.2452)"
ACIS,SAND POINT 1 ENE,40795,"c(-160.466, 55.3473)"
ACIS,PORT ALSWORTH 1 SW,40796,"c(-154.3196, 60.1951)"
ACIS,TOK #2,40827,"c(-143.0058, 63.3155)"
ACIS,FORTY MILE RIVER AT TAYLOR HIGHWAY,40927,"c(-141.40889, 64.30861)"
ACIS,GOLDSTREAM CREEK,40987,"c(-147.87531, 64.8938)"
ACIS,EAGLE RIVER 2.6 ESE,46486,"c(-149.49579, 61.31224)"
ACIS,EAGLE RIVER 7.8 SE,46494,"c(-149.44008, 61.22724)"
ACIS,WILLOW 3.6 SE,46507,"c(-149.98965, 61.69947)"
ACIS,EDNA BAY 1.3 E,46509,"c(-133.61775, 55.95527)"
ACIS,SKAGWAY 0.5 W,46510,"c(-135.3503, 59.5201)"
ACIS,RED DOG MINE 3 SSW,61824,"c(-162.9212, 68.0277)"
ACIS,KENAI 29 ENE,61825,"c(-150.44839, 60.7237)"
ACIS,TOK 70 SE,62508,"c(-141.2083, 62.737)"
ACIS,PETERSBURG 4.4 NW,62553,"c(-132.95358, 56.8139)"
ACIS,ALPINE CREEK LODGE,63988,"c(-147.24789, 63.0429)"
ACIS,PALMER 1.7 WNW,64007,"c(-149.12579, 61.6185)"
ACIS,ALCAN HWY MI-1244 ALASKA,65647,"c(-141.46671, 62.8167)"
ACIS,ANGEL CREEK ALASKA,65649,"c(-146.228, 65.02)"
ACIS,BIRCH CREEK ALASKA,65653,"c(-144.3636, 65.5847)"
ACIS,BEN CREEK ALASKA,65655,"c(-143.0667, 65.2833)"
ACIS,BEAVER (WBQ) ALASKA,65657,"c(-146.51669, 66.2667)"
ACIS,BIG LAKE ALASKA,65658,"c(-149.90781, 61.5183)"
ACIS,BENTALIT ALASKA,65661,"c(-150.98579, 61.9358)"
ACIS,BROADVIEW ALASKA,65665,"c(-149.76669, 60.4833)"
ACIS,CARIBOU PEAK ALASKA,65671,"c(-147.50031, 65.1892)"
